fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
STACK_INCLUSIVE natives-values 4 org.kanger.TValueBaselineBenchmarkRunner.run 8
STACK_INCLUSIVE natives-values 4 org.kanger.TechnicalMindTransaction.<init> 1
STACK_INCLUSIVE natives-values 4 org.kanger.TechnicalMindTransaction.begin 1
STACK_INCLUSIVE natives-values 4 org.kanger.factory.RuleFactory.findByDomain 1
STACK_INCLUSIVE natives-values 4 org.kanger.factory.RuleFactory.get 1
STACK_INCLUSIVE natives-values 4 org.kanger.factory.RuleFactory.getRaw 1
STACK_INCLUSIVE natives-values 4 org.kanger.factory.TValueFactory.forEach 4
STACK_INCLUSIVE natives-values 4 org.kanger.primitives.Argument.isEmpty 2
STACK_INCLUSIVE natives-values 4 org.kanger.primitives.ArgumentsList.equalsBase 1
STACK_INCLUSIVE natives-values 4 org.kanger.primitives.TVariableSet.contains 2
STACK_INCLUSIVE natives-values 4 org.kanger.storage.Escalera.get 1
STACK_INCLUSIVE natives-values 4 org.kanger.storage.Step.getData 1
STACK_INCLUSIVE natives-values 4 org.kanger.units.Domain.isComplete 1
STACK_INCLUSIVE natives-values 4 org.kanger.units.Domain.isUsed 1
STACK_INCLUSIVE natives-values 4 org.kanger.units.Domain.setUsed 1
STACK_INCLUSIVE natives-values 4 org.kanger.units.Rule.isUsed 1
STACK_INCLUSIVE natives-values 4 org.kanger.units.Rule.setMind 1
STACK_INCLUSIVE natives-values 4 org.kanger.units.TVariable.compareTo 2
STACK_LEAF natives-values 4 java.util.HashMap.getNode 1
STACK_LEAF natives-values 4 java.util.IdentityHashMap.init 1
STACK_LEAF natives-values 4 org.kanger.primitives.Argument.isEmpty 2
STACK_LEAF natives-values 4 org.kanger.units.Rule.isUsed 1
STACK_LEAF natives-values 4 org.kanger.units.Rule.setMind 1
STACK_LEAF natives-values 4 org.kanger.units.TVariable.compareTo 2
natives-values,4,72777488,84281237,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
STACK_TOTAL natives-values 5 8
STACK_INCLUSIVE natives-values 5 org.kanger.Linker$3.run 3
STACK_INCLUSIVE natives-values 5 org.kanger.Linker$4.run 7
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.access$3 3
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.access$4 4
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.access$5 6
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.isValidFor 4
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.link 7
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.linkDatabase 3
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.rotateVariables 7
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.rotator 7
STACK_INCLUSIVE natives-values 5 org.kanger.Linker.synchronizeSolveIndex 2
STACK_INCLUSIVE natives-values 5 org.kanger.Mind.<init> 1
STACK_INCLUSIVE natives-values 5 org.kanger.Mind.init 1
STACK_INCLUSIVE natives-values 5 org.kanger.Mind.link 7
STACK_INCLUSIVE natives-values 5 org.kanger.Mind.query 8
STACK_INCLUSIVE natives-values 5 org.kanger.Mind.queryCheckFalse 3
STACK_INCLUSIVE natives-values 5 org.kanger.Mind.queryCheckTrue 5
STACK_INCLUSIVE natives-values 5 org.kanger.TValueBaselineBenchmarkRunner.bench 8
STACK_INCLUSIVE natives-values 5 org.kanger.TValueBaselineBenchmarkRunner.main 8
STACK_INCLUSIVE natives-values 5 org.kanger.TValueBaselineBenchmarkRunner.run 8
STACK_INCLUSIVE natives-values 5 org.kanger.TechnicalMindTransaction.<init> 1
STACK_INCLUSIVE natives-values 5 org.kanger.TechnicalMindTransaction.begin 1
STACK_INCLUSIVE natives-values 5 org.kanger.calculator.Calculator.<init> 1
STACK_INCLUSIVE natives-values 5 org.kanger.calculator.Functions$1$57.<init> 1
STACK_INCLUSIVE natives-values 5 org.kanger.calculator.Functions$1.<init> 1
STACK_INCLUSIVE natives-values 5 org.kanger.calculator.Functions.<init> 1
STACK_INCLUSIVE natives-values 5 org.kanger.factory.RuleFactory.effectiveView 1
STACK_INCLUSIVE natives-values 5 org.kanger.factory.RuleFactory.find 2
STACK_INCLUSIVE natives-values 5 org.kanger.factory.RuleFactory.get 2
STACK_INCLUSIVE natives-values 5 org.kanger.factory.RuleFactory.getRaw 1
STACK_INCLUSIVE natives-values 5 org.kanger.factory.RuleFactory.isPromoted 1
STACK_INCLUSIVE natives-values 5 org.kanger.factory.TValueFactory.forEach 7
STACK_INCLUSIVE natives-values 5 org.kanger.primitives.TVariableSet.hashCode 2
STACK_INCLUSIVE natives-values 5 org.kanger.storage.Escalera.get 1
STACK_INCLUSIVE natives-values 5 org.kanger.storage.Step.getData 1
STACK_INCLUSIVE natives-values 5 org.kanger.units.Domain.isStored 2
STACK_INCLUSIVE natives-values 5 org.kanger.units.Rule.setMind 1
STACK_LEAF natives-values 5 org.kanger.Linker.isValidFor 2
STACK_LEAF natives-values 5 org.kanger.Linker.linkDatabase 1
STACK_LEAF natives-values 5 org.kanger.calculator.Functions$1$57.<init> 1
STACK_LEAF natives-values 5 org.kanger.factory.RuleFactory.isPromoted 1
STACK_LEAF natives-values 5 org.kanger.primitives.TVariableSet.hashCode 2
STACK_LEAF natives-values 5 org.kanger.units.Rule.setMind 1
natives-values,5,67736135,76668716,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
STACK_TOTAL natives-values 6 8
STACK_INCLUSIVE natives-values 6 org.kanger.Analyzer.analyze 1
STACK_INCLUSIVE natives-values 6 org.kanger.Analyzer.candidatesFor 1
STACK_INCLUSIVE natives-values 6 org.kanger.Analyzer.checkDatabase 1
STACK_INCLUSIVE natives-values 6 org.kanger.Analyzer.checkRight 1
STACK_INCLUSIVE natives-values 6 org.kanger.Linker$3.run 3
STACK_INCLUSIVE natives-values 6 org.kanger.Linker$4.run 5
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.<init> 1
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.access$2 1
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.access$3 2
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.access$4 3
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.access$5 5
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.isValidFor 3
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.link 6
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.linkDatabase 2
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.linkDomains 1
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.markExcluded 1
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.rotateVariables 6
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.rotator 6
STACK_INCLUSIVE natives-values 6 org.kanger.Linker.synchronizeSolveIndex 3
STACK_INCLUSIVE natives-values 6 org.kanger.Mind.<init> 1
STACK_INCLUSIVE natives-values 6 org.kanger.Mind.analyze 1
STACK_INCLUSIVE natives-values 6 org.kanger.Mind.init 1
STACK_INCLUSIVE natives-values 6 org.kanger.Mind.isUnitDeleted 1
STACK_INCLUSIVE natives-values 6 org.kanger.Mind.link 6
STACK_INCLUSIVE natives-values 6 org.kanger.Mind.query 8
STACK_INCLUSIVE natives-values 6 org.kanger.Mind.queryCheckFalse 3
STACK_INCLUSIVE natives-values 6 org.kanger.Mind.queryCheckTrue 5
STACK_INCLUSIVE natives-values 6 org.kanger.TValueBaselineBenchmarkRunner.bench 8
STACK_INCLUSIVE natives-values 6 org.kanger.TValueBaselineBenchmarkRunner.main 8
STACK_INCLUSIVE natives-values 6 org.kanger.TValueBaselineBenchmarkRunner.run 8
STACK_INCLUSIVE natives-values 6 org.kanger.TechnicalMindTransaction.<init> 1
STACK_INCLUSIVE natives-values 6 org.kanger.TechnicalMindTransaction.begin 1
STACK_INCLUSIVE natives-values 6 org.kanger.factory.RuleFactory.collectDomainIds 1
STACK_INCLUSIVE natives-values 6 org.kanger.factory.RuleFactory.findByDomain 1
STACK_INCLUSIVE natives-values 6 org.kanger.factory.TValueFactory.forEach 5
STACK_INCLUSIVE natives-values 6 org.kanger.primitives.Argument.isEmpty 1
STACK_INCLUSIVE natives-values 6 org.kanger.primitives.ArgumentsList.equalsBase 2
STACK_INCLUSIVE natives-values 6 org.kanger.primitives.TVariableSet.hashCode 3
STACK_INCLUSIVE natives-values 6 org.kanger.units.Domain.isExcluded 2
STACK_INCLUSIVE natives-values 6 org.kanger.units.Domain.isStored 1
STACK_INCLUSIVE natives-values 6 org.kanger.units.Domain.setExcluded 1
STACK_INCLUSIVE natives-values 6 org.kanger.units.Rule.isDeleted 1
STACK_LEAF natives-values 6 java.util.AbstractCollection.addAll 1
STACK_LEAF natives-values 6 java.util.Collections$SetFromMap.<init> 1
STACK_LEAF natives-values 6 java.util.TreeMap.getFirstEntry 1
STACK_LEAF natives-values 6 org.kanger.Mind.isUnitDeleted 1
STACK_LEAF natives-values 6 org.kanger.primitives.Argument.isEmpty 1
