THREAD_STACK_OBSERVATIONS 323
1 BLOCKED org.kanger.TechnicalMindTransaction.<init>
1 BLOCKED org.kanger.TechnicalMindTransaction.begin
1 BLOCKED org.kanger.compiler.Compiller.isFunction
1 BLOCKED org.kanger.enums.Tools.parseDate
1 BLOCKED org.kanger.factory.RuleFactory.expand
1 BLOCKED org.kanger.factory.RuleFactory.find
1 BLOCKED org.kanger.factory.RuleFactory.store
1 BLOCKED org.kanger.factory.TVariableFactory.<init>
1 BLOCKED org.kanger.factory.TVariableFactory.transaction
1 BLOCKED org.kanger.storage.Escalera$WalkIterator.next
1 BLOCKED org.kanger.storage.Escalera.ensureIndex
1 BLOCKED org.kanger.storage.Escalera.indexStep
1 BLOCKED org.kanger.storage.Step.getData
1 BLOCKED org.kanger.stores.LogStore.add
1 BLOCKED org.kanger.units.Domain.setStored
1 BLOCKED org.kanger.units.Rule.setMind
1 BLOCKED org.kanger.units.Term.<init>
1 BLOCKED org.kanger.units.Term.construct
1 BLOCKED org.kanger.units.Term.isDeleted
1 RUNNABLE java.lang.Boolean.getBoolean
1 RUNNABLE java.lang.Long.getChars
1 RUNNABLE java.lang.Long.toString
1 RUNNABLE java.lang.Object.clone
1 RUNNABLE java.lang.String.split
1 RUNNABLE java.lang.System.getProperty
1 RUNNABLE java.lang.ThreadLocal$ThreadLocalMap.set
1 RUNNABLE java.lang.ThreadLocal.set
1 RUNNABLE java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial
1 RUNNABLE java.lang.invoke.DirectMethodHandle.allocateInstance
1 RUNNABLE java.lang.invoke.Invokers$Holder.linkToTargetMethod
1 RUNNABLE java.lang.ref.Reference.refersTo
1 RUNNABLE java.text.DecimalFormat.parse
1 RUNNABLE java.text.DecimalFormat.subparse
1 RUNNABLE java.text.DecimalFormat.subparseNumber
1 RUNNABLE java.text.MessageFormat.<init>
1 RUNNABLE java.text.MessageFormat.applyPattern
1 RUNNABLE java.text.MessageFormat.format
1 RUNNABLE java.text.MessageFormat.makeFormat
1 RUNNABLE java.text.SimpleDateFormat.initialize
1 RUNNABLE java.text.SimpleDateFormat.initializeCalendar
1 RUNNABLE java.text.SimpleDateFormat.initializeDefaultCentury
1 RUNNABLE java.text.SimpleDateFormat.parse
1 RUNNABLE java.text.SimpleDateFormat.subParse
1 RUNNABLE java.util.ArrayList.addAll
1 RUNNABLE java.util.ArrayList.equals
1 RUNNABLE java.util.ArrayList.equalsArrayList
1 RUNNABLE java.util.ArrayList.subList
1 RUNNABLE java.util.Calendar.createCalendar
1 RUNNABLE java.util.Calendar.getInstance
1 RUNNABLE java.util.Calendar.getTime
1 RUNNABLE java.util.Calendar.getTimeInMillis
1 RUNNABLE java.util.Calendar.updateTime
1 RUNNABLE java.util.Collections$UnmodifiableCollection$1.hasNext
1 RUNNABLE java.util.Formatter$FormatSpecifier.print
1 RUNNABLE java.util.Formatter$FormatSpecifier.printInteger
1 RUNNABLE java.util.Formatter.parse
1 RUNNABLE java.util.GregorianCalendar.computeTime
1 RUNNABLE java.util.HashMap$TreeNode.balanceInsertion
1 RUNNABLE java.util.HashMap$TreeNode.treeify
1 RUNNABLE java.util.HashMap.treeifyBin
1 RUNNABLE java.util.Properties.getProperty
1 RUNNABLE java.util.TimeZone.clone
1 RUNNABLE java.util.TimeZone.getTimeZone
1 RUNNABLE java.util.concurrent.ConcurrentHashMap.get
1 RUNNABLE java.util.concurrent.CountDownLatch$Sync.<init>
1 RUNNABLE java.util.concurrent.CountDownLatch.<init>
1 RUNNABLE java.util.concurrent.CountDownLatch.await
1 RUNNABLE java.util.concurrent.locks.AbstractOwnableSynchronizer.<init>
1 RUNNABLE java.util.concurrent.locks.AbstractQueuedSynchronizer.<init>
1 RUNNABLE java.util.concurrent.locks.AbstractQueuedSynchronizer.acquire
1 RUNNABLE java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireSharedInterruptibly
1 RUNNABLE java.util.concurrent.locks.LockSupport.park
1 RUNNABLE java.util.regex.Matcher.<init>
1 RUNNABLE java.util.regex.Matcher.reset
1 RUNNABLE java.util.regex.Pattern$CharProperty.study
1 RUNNABLE java.util.regex.Pattern$Start.<init>
1 RUNNABLE java.util.regex.Pattern.Single
1 RUNNABLE java.util.regex.Pattern.matcher
1 RUNNABLE jdk.internal.misc.Unsafe.allocateInstance
1 RUNNABLE jdk.internal.misc.Unsafe.park
1 RUNNABLE org.kanger.Analyzer.recordCollision
1 RUNNABLE org.kanger.Linker.access$6
1 RUNNABLE org.kanger.Linker.getSolveCandidates
1 RUNNABLE org.kanger.Linker.isValidFor
1 RUNNABLE org.kanger.Mind.<init>
1 RUNNABLE org.kanger.Mind.finalizeTransactionRootLocked
1 RUNNABLE org.kanger.Mind.finishTransactionLocked
1 RUNNABLE org.kanger.Mind.markCompositeCheckpoints
1 RUNNABLE org.kanger.Mind.pack
1 RUNNABLE org.kanger.Mind.release
1 RUNNABLE org.kanger.PortableMindLayer.capture
1 RUNNABLE org.kanger.TechnicalMindTransaction.<init>
1 RUNNABLE org.kanger.TechnicalMindTransaction.begin
1 RUNNABLE org.kanger.TechnicalMindTransaction.rollback
1 RUNNABLE org.kanger.enums.Tools.isPeriod
1 RUNNABLE org.kanger.factory.CommentFactory.transaction
1 RUNNABLE org.kanger.factory.DictionaryFactory.pack
1 RUNNABLE org.kanger.factory.FValueFactory.commit
1 RUNNABLE org.kanger.factory.FValueFactory.release
1 RUNNABLE org.kanger.factory.RuleCandidateIndex.batchGeneratedNonSubstitutablePair
1 RUNNABLE org.kanger.factory.RuleCandidateIndex.computeBatchSummary
1 RUNNABLE org.kanger.factory.RuleFactory.copyTermIndexLocked
1 RUNNABLE org.kanger.factory.RuleFactory.mark
1 RUNNABLE org.kanger.factory.TValueFactory.find
1 RUNNABLE org.kanger.factory.TValueFactory.release
1 RUNNABLE org.kanger.primitives.ArgumentsList.equalsStamp
1 RUNNABLE org.kanger.primitives.ArgumentsList.getHash
1 RUNNABLE org.kanger.primitives.ArgumentsList.getStamp
1 RUNNABLE org.kanger.primitives.ArgumentsList.hashCode
1 RUNNABLE org.kanger.primitives.Hypothesis.<init>
1 RUNNABLE org.kanger.primitives.TVariableSet.hashCode
1 RUNNABLE org.kanger.storage.Escalera.add
1 RUNNABLE org.kanger.storage.Escalera.release
1 RUNNABLE org.kanger.storage.Escalera.setRoot
1 RUNNABLE org.kanger.units.Domain.createStored
1 RUNNABLE org.kanger.units.Domain.isComplete
1 RUNNABLE org.kanger.units.Domain.isProduced
1 RUNNABLE org.kanger.units.Domain.isUsed
1 RUNNABLE org.kanger.units.Domain.setProduced
1 RUNNABLE org.kanger.units.Domain.setUsed
1 RUNNABLE org.kanger.units.Rule.getDomain
1 RUNNABLE org.kanger.units.Rule.toString
1 RUNNABLE org.kanger.units.TVariable.setMind
1 RUNNABLE org.kanger.units.Term.timeZone
1 RUNNABLE sun.util.calendar.ZoneInfo.clone
1 RUNNABLE sun.util.calendar.ZoneInfo.getTimeZone
1 RUNNABLE sun.util.calendar.ZoneInfoFile.getZoneInfo
1 RUNNABLE sun.util.locale.provider.LocaleProviderAdapter.getResourceBundleBased
1 TERMINATED java.lang.String.valueOf
1 TERMINATED java.lang.StringBuilder.append
1 TERMINATED java.lang.Thread.run
1 TERMINATED org.kanger.Analyzer.analyze
1 TERMINATED org.kanger.Analyzer.checkDatabase
1 TERMINATED org.kanger.Analyzer.checkRight
1 TERMINATED org.kanger.Mind.analyze
1 TERMINATED org.kanger.Mind.query
1 TERMINATED org.kanger.Mind.queryAccept
1 TERMINATED org.kanger.test.KangerTest$4.run
1 TERMINATED org.kanger.units.Predicate.getName
1 TERMINATED org.kanger.units.Predicate.toString
THREAD_STACK_OBSERVATIONS 268
202 RUNNABLE org.kanger.Mind.query
143 RUNNABLE org.kanger.test.KangerTest.set_08_02
143 RUNNABLE org.kanger.test.Set0802ProfileRunner.main
140 RUNNABLE org.kanger.Mind.queryCheckTrue
123 RUNNABLE org.kanger.Linker.link
123 RUNNABLE org.kanger.Mind.link
122 RUNNABLE org.kanger.Linker.rotator
97 RUNNABLE org.kanger.Linker.rotateVariables
90 RUNNABLE org.kanger.Linker$3.run
67 RUNNABLE org.kanger.Linker$4.run
67 RUNNABLE org.kanger.Linker.access$8
67 RUNNABLE org.kanger.factory.TValueFactory.experimentalForEachSelected
61 RUNNABLE java.lang.Thread.run
61 RUNNABLE org.kanger.Mind.queryAccept
48 RUNNABLE org.kanger.Linker.access$3
48 RUNNABLE org.kanger.Linker.linkDatabase
43 RUNNABLE org.kanger.Mind.compileLine
42 RUNNABLE org.kanger.units.CachedDomain.getCauses
37 BLOCKED java.lang.Thread.run
37 BLOCKED org.kanger.Mind.query
37 BLOCKED org.kanger.Mind.queryAccept
35 RUNNABLE org.kanger.Linker.access$1
35 RUNNABLE org.kanger.Linker.selectDomainCandidates
34 RUNNABLE org.kanger.compiler.Compiller.compileLine
30 RUNNABLE java.util.HashMap.put
30 RUNNABLE org.kanger.factory.RuleCandidateIndex.collectResolvedLocal
30 RUNNABLE org.kanger.factory.RuleFactory.collectResolvedCandidateIds
30 RUNNABLE org.kanger.factory.RuleFactory.findByResolvedDomain
28 RUNNABLE java.util.AbstractCollection.addAll
27 WAITING java.util.concurrent.CountDownLatch.await
27 WAITING java.util.concurrent.locks.AbstractQueuedSynchronizer.acquire
27 WAITING java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireSharedInterruptibly
27 WAITING java.util.concurrent.locks.LockSupport.park
27 WAITING jdk.internal.misc.Unsafe.park
27 WAITING org.kanger.test.KangerTest.set_08_02
27 WAITING org.kanger.test.Set0802ProfileRunner.main
26 BLOCKED org.kanger.Mind.compileLine
26 RUNNABLE java.util.HashSet.add
26 RUNNABLE org.kanger.Analyzer.analyze
26 RUNNABLE org.kanger.Mind.analyze
25 BLOCKED org.kanger.compiler.Compiller.compileLine
25 RUNNABLE org.kanger.Linker.updateDatabase
25 RUNNABLE org.kanger.factory.DictionaryFactory.add
24 RUNNABLE java.util.HashMap.putVal
24 RUNNABLE org.kanger.Linker.logCauses
23 RUNNABLE org.kanger.Analyzer.checkDatabase
20 RUNNABLE org.kanger.test.KangerTest$6.run
19 RUNNABLE org.kanger.Analyzer.checkRight
17 BLOCKED org.kanger.factory.DictionaryFactory.add
16 BLOCKED org.kanger.test.KangerTest$4.run
16 RUNNABLE org.kanger.compiler.Compiller.compilePredicate
16 RUNNABLE org.kanger.compiler.Compiller.construct
16 RUNNABLE org.kanger.test.KangerTest$5.run
16 RUNNABLE org.kanger.units.Term.<init>
16 RUNNABLE org.kanger.units.Term.construct
15 BLOCKED org.kanger.factory.DictionaryFactory.getVarIndex
15 BLOCKED org.kanger.factory.RuleFactory.register
15 RUNNABLE java.util.LinkedHashSet.<init>
15 RUNNABLE org.kanger.test.KangerTest$7.run
14 RUNNABLE org.kanger.enums.Tools.parseDate
14 RUNNABLE org.kanger.factory.RuleCandidateIndex$IdIndex.get
14 RUNNABLE org.kanger.units.CachedDomain.setCauses
14 RUNNABLE org.kanger.units.Domain.setCauses
13 RUNNABLE org.kanger.Analyzer.candidatesFor
13 RUNNABLE org.kanger.factory.RuleFactory.findByDomain
13 RUNNABLE org.kanger.storage.Step.getData
12 RUNNABLE java.util.HashMap.hash
11 RUNNABLE java.util.AbstractSet.removeAll
11 RUNNABLE org.kanger.compiler.Compiller.parseArgs
11 RUNNABLE org.kanger.units.Domain.getOverlaps
11 RUNNABLE org.kanger.units.Rule.setMind
10 RUNNABLE org.kanger.Mind.commit
10 RUNNABLE org.kanger.TechnicalMindTransaction.commit
10 RUNNABLE org.kanger.factory.DictionaryFactory.find
10 RUNNABLE org.kanger.test.KangerTest$4.run
9 BLOCKED org.kanger.test.KangerTest$7.run
9 RUNNABLE java.lang.ThreadLocal$ThreadLocalMap.getEntry
9 RUNNABLE java.lang.ThreadLocal.get
9 RUNNABLE org.kanger.units.TVariable.activeMind
8 BLOCKED org.kanger.Mind.convertExternals
8 RUNNABLE java.lang.ThreadLocal$ThreadLocalMap.getEntryAfterMiss
8 RUNNABLE java.util.HashMap.remove
8 RUNNABLE java.util.HashSet.remove
8 RUNNABLE org.kanger.Mind.isUnitDeleted
8 RUNNABLE org.kanger.factory.RuleFactory$1.next
8 RUNNABLE org.kanger.primitives.Argument.getValue
8 RUNNABLE org.kanger.primitives.ArgumentsList.getTVariables
8 RUNNABLE org.kanger.storage.Escalera.find
8 RUNNABLE org.kanger.units.TVariable.getValue
7 BLOCKED org.kanger.test.KangerTest$6.run
7 RUNNABLE java.text.DateFormat.parse
7 RUNNABLE org.kanger.Linker.access$2
7 RUNNABLE org.kanger.Linker.linkDomains
7 RUNNABLE org.kanger.factory.DictionaryFactory.getVarIndex
7 RUNNABLE org.kanger.factory.RuleFactory.get
7 RUNNABLE org.kanger.factory.RuleFactory.register
7 RUNNABLE org.kanger.primitives.Argument.isEmpty
7 RUNNABLE org.kanger.primitives.ArgumentsList.equalsBase
7 RUNNABLE org.kanger.storage.Escalera.get
7 RUNNABLE org.kanger.stores.LogStore.add
7 RUNNABLE org.kanger.units.Domain.isExcluded
6 BLOCKED org.kanger.compiler.Compiller.compilePredicate
6 BLOCKED org.kanger.compiler.Compiller.construct
6 RUNNABLE java.lang.Exception.<init>
6 RUNNABLE java.lang.Throwable.<init>
6 RUNNABLE java.lang.Throwable.fillInStackTrace
6 RUNNABLE java.text.ParseException.<init>
6 RUNNABLE java.util.AbstractCollection.retainAll
6 RUNNABLE java.util.HashMap.getNode
6 RUNNABLE org.kanger.factory.RuleFactory.find
6 RUNNABLE org.kanger.factory.RuleFactory.getRaw
6 RUNNABLE org.kanger.storage.Escalera$WalkIterator.next
6 RUNNABLE org.kanger.storage.Escalera.indexStep
6 RUNNABLE org.kanger.units.CachedDomain.setMind
6 RUNNABLE org.kanger.units.Domain.setMind
5 BLOCKED org.kanger.compiler.Compiller.parseArgs
